epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,7988.31,1.67877,0.97937,1.03993,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,8140.4,1.65784,0.96957,1.03434,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,8291.64,1.64903,0.96219,1.03451,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,8441.48,1.65259,0.95862,1.03292,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,8593.53,1.64875,0.95832,1.03319,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,8744.93,1.64775,0.94365,1.03295,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,8896.21,1.64355,0.9529,1.03786,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,9048.23,1.64412,0.94717,1.03237,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,9199.3,1.63938,0.94318,1.03871,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,9349.85,1.6388,0.94585,1.02934,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,9500.63,1.63595,0.93736,1.03077,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,9650.61,1.62233,0.93572,1.02659,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,9801.6,1.62628,0.92095,1.02928,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,9952.67,1.61329,0.92591,1.02534,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,10102.7,1.60862,0.92282,1.02325,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,10253.7,1.62019,0.92466,1.02691,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,10404.6,1.60089,0.91527,1.02184,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,10556.3,1.60067,0.91572,1.02515,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,10707.1,1.59966,0.90574,1.01878,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,10858.9,1.58918,0.89977,1.02058,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,11009.3,1.58994,0.8995,1.02157,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,11159.7,1.60232,0.90448,1.02299,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,11309.6,1.58918,0.89628,1.01715,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,11459.1,1.58548,0.90031,1.01469,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,11610.1,1.57347,0.89011,1.01388,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,11761.3,1.57665,0.89685,1.01319,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,11912.5,1.56858,0.88147,1.01046,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,12063.3,1.55863,0.87649,1.01494,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,12214.5,1.56187,0.88056,1.00901,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,12365.1,1.56481,0.86802,1.01062,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,12516.2,1.55676,0.87037,1.00818,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,12667.9,1.54612,0.86388,1.00789,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,12818.9,1.56024,0.8673,1.00788,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,12969.9,1.54187,0.85946,1.00181,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,13121.2,1.52974,0.85233,1.00391,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,13271.7,1.53954,0.858,1.00295,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,13422.4,1.5312,0.86064,1.00673,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,13571.5,1.52852,0.84834,0.99851,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,13709.4,1.50056,0.79931,1.00581,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,13847.3,1.48744,0.79085,1.0021,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,13985.8,1.48566,0.78657,1.0043,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,14123.6,1.46747,0.77731,0.99997,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,14261.9,1.46121,0.7678,1.00066,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,14399.8,1.45273,0.76632,0.99344,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
97,14538.7,1.44311,0.76204,0.99692,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
98,14677.4,1.44914,0.76265,0.98974,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
99,14815.3,1.44689,0.76285,0.99459,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
100,14983.4,1.43164,0.75634,0.98943,0.59077,0.56122,0.52104,0.24292,1.86682,2.09121,0.94823,0.000199,0.000199,0.000199
