epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.269,1.31159,3.06857,0.95654,0,0,0,0,0,0,0,0.00333075,0.00333075,0.00333075
2,702.742,1.39304,1.52759,0.99468,0,0,0,0,0,0,0,0.0066201,0.0066201,0.0066201
3,1039.36,1.44157,1.03356,1.02276,0,0,0,0,0,0,0,0.00986545,0.00986545,0.00986545
4,1375.27,1.51493,0.99843,1.04886,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,1703.2,1.51652,0.95921,1.04465,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,2033.73,1.52593,0.95498,1.04905,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,2367.35,1.52072,0.93654,1.04577,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,2692.99,1.51135,0.92224,1.0505,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,3019.99,1.50915,0.91113,1.04099,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,3350.35,1.49937,0.90625,1.04311,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,3675.52,1.49891,0.89539,1.04036,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,4004.02,1.48456,0.88132,1.0353,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,4328.01,1.49203,0.88866,1.03725,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,4654.36,1.48455,0.88085,1.03392,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,4979.54,1.48476,0.87595,1.03639,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,5307.15,1.47515,0.86329,1.03217,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,5647.63,1.47158,0.86317,1.03003,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
18,5976.91,1.47077,0.857,1.03183,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
19,6301.72,1.46946,0.85634,1.03118,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
20,6634.16,1.46738,0.84508,1.02848,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
21,6966.28,1.45491,0.84658,1.02744,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
22,7297.04,1.45831,0.83594,1.0262,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
23,7622.65,1.4548,0.83446,1.02503,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
24,7953.28,1.44501,0.83291,1.02366,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
25,8281.99,1.44904,0.83261,1.02702,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
26,8613.8,1.43595,0.82138,1.01893,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
27,8939.25,1.44231,0.81648,1.02052,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
28,9265.71,1.43199,0.81383,1.01771,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
29,9591.21,1.43628,0.81306,1.02267,0,0,0,0,0,0,0,0.008152,0.008152,0.008152
30,9926.44,1.42729,0.80615,1.01509,0,0,0,0,0,0,0,0.008086,0.008086,0.008086
31,10265.9,1.42546,0.80316,1.01275,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
32,10610.3,1.41529,0.7982,1.01394,0,0,0,0,0,0,0,0.007954,0.007954,0.007954
33,10953.1,1.41785,0.79715,1.01657,0,0,0,0,0,0,0,0.007888,0.007888,0.007888
34,11297.3,1.41388,0.79568,1.01362,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
35,11637.6,1.41099,0.79608,1.01386,0,0,0,0,0,0,0,0.007756,0.007756,0.007756
36,11978,1.41234,0.78972,1.01068,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
37,12313.1,1.40811,0.7925,1.01413,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
38,12653.8,1.40513,0.78574,1.00904,0,0,0,0,0,0,0,0.007558,0.007558,0.007558
39,12990.2,1.40234,0.78495,1.01235,0,0,0,0,0,0,0,0.007492,0.007492,0.007492
40,13322.6,1.40507,0.78376,1.00919,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
41,13654.5,1.39491,0.7814,1.00503,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
42,13986.4,1.38533,0.77019,1.00393,0,0,0,0,0,0,0,0.007294,0.007294,0.007294
43,14313.2,1.3907,0.76961,1.00665,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
44,14640.4,1.38459,0.76447,1.00749,0,0,0,0,0,0,0,0.007162,0.007162,0.007162
45,14975.7,1.38857,0.77151,1.00506,0,0,0,0,0,0,0,0.007096,0.007096,0.007096
46,15308.8,1.38087,0.76308,1.0031,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
47,15641.8,1.38032,0.7601,1.00266,0,0,0,0,0,0,0,0.006964,0.006964,0.006964
48,15970.1,1.3727,0.7568,1.00092,0,0,0,0,0,0,0,0.006898,0.006898,0.006898
49,16310.9,1.37477,0.75442,1.00285,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
50,16643.3,1.37185,0.74954,1.00024,0,0,0,0,0,0,0,0.006766,0.006766,0.006766
51,16977.1,1.368,0.7505,1.00204,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
52,17307.1,1.36728,0.74659,1.00035,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
53,17639.3,1.36013,0.74393,0.99581,0,0,0,0,0,0,0,0.006568,0.006568,0.006568
54,17972.4,1.35069,0.74216,0.99652,0,0,0,0,0,0,0,0.006502,0.006502,0.006502
55,18299.3,1.34975,0.73733,0.99509,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
56,18624.3,1.35374,0.73578,0.99801,0,0,0,0,0,0,0,0.00637,0.00637,0.00637
57,18957.2,1.35078,0.73864,0.99609,0,0,0,0,0,0,0,0.006304,0.006304,0.006304
58,19292.4,1.34074,0.73049,0.99288,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
59,19620.1,1.34112,0.72632,0.992,0,0,0,0,0,0,0,0.006172,0.006172,0.006172
60,19954.7,1.33717,0.72737,0.99174,0,0,0,0,0,0,0,0.006106,0.006106,0.006106
61,20282.3,1.33351,0.7193,0.99037,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
62,20608.7,1.33244,0.72572,0.99058,0,0,0,0,0,0,0,0.005974,0.005974,0.005974
63,20944.8,1.32905,0.71908,0.98928,0,0,0,0,0,0,0,0.005908,0.005908,0.005908
64,21279.2,1.32665,0.71336,0.98976,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
65,21620.4,1.32712,0.71139,0.9871,0,0,0,0,0,0,0,0.005776,0.005776,0.005776
66,21960.4,1.31887,0.7069,0.98807,0,0,0,0,0,0,0,0.00571,0.00571,0.00571
67,22293.2,1.31993,0.70676,0.98834,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
68,22627.1,1.32023,0.71198,0.98698,0,0,0,0,0,0,0,0.005578,0.005578,0.005578
69,22962,1.31491,0.70795,0.98704,0,0,0,0,0,0,0,0.005512,0.005512,0.005512
70,23290.4,1.30797,0.70347,0.98172,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
71,23618,1.30726,0.70477,0.9783,0,0,0,0,0,0,0,0.00538,0.00538,0.00538
72,23944.1,1.30121,0.69584,0.98121,0,0,0,0,0,0,0,0.005314,0.005314,0.005314
73,24273.9,1.30471,0.70122,0.98266,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
74,24604.1,1.28193,0.69165,0.97621,0,0,0,0,0,0,0,0.005182,0.005182,0.005182
75,24936.7,1.28844,0.68439,0.97627,0,0,0,0,0,0,0,0.005116,0.005116,0.005116
76,25261.6,1.29283,0.6907,0.97674,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
77,25595.2,1.28825,0.68541,0.9758,0,0,0,0,0,0,0,0.004984,0.004984,0.004984
78,25920.6,1.28413,0.68511,0.97527,0,0,0,0,0,0,0,0.004918,0.004918,0.004918
79,26254.2,1.27742,0.67862,0.97424,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
80,26586,1.27867,0.68216,0.97478,0,0,0,0,0,0,0,0.004786,0.004786,0.004786
81,26921.2,1.27903,0.6776,0.97633,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
