epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.781,1.53156,0.8425,1.00215,0.58778,0.53298,0.51061,0.23923,1.89461,2.41935,0.95261,0.00332041,0.00332041,0.00332041
2,271.368,1.55118,0.84721,1.0104,0.46681,0.52762,0.45993,0.19102,2.02249,2.47664,0.97915,0.00662081,0.00662081,0.00662081
3,410.665,1.62174,0.90779,1.02284,0.4305,0.55547,0.43874,0.19613,2.05473,2.89753,0.99799,0.00988821,0.00988821,0.00988821
4,545.122,1.68941,0.97775,1.04572,0.31104,0.41977,0.26726,0.11686,1.95907,3.46744,0.97878,0.0098515,0.0098515,0.0098515
5,673.868,1.69652,0.97716,1.05046,0.2611,0.36482,0.21327,0.08986,2.22255,3.28032,1.04763,0.009802,0.009802,0.009802
6,802.918,1.68627,0.97046,1.05074,0.40694,0.54805,0.42258,0.19194,1.98624,2.71928,0.98139,0.0097525,0.0097525,0.0097525
7,940.292,1.6885,0.97261,1.05075,0.43778,0.52269,0.3499,0.15677,1.91045,2.60687,0.96424,0.009703,0.009703,0.009703
8,1063.78,1.69305,0.97373,1.05111,0.50424,0.51386,0.40494,0.1853,1.98715,2.71094,0.97306,0.0096535,0.0096535,0.0096535
9,1187.1,1.68523,0.96353,1.046,0.49008,0.53481,0.45538,0.19967,1.90429,2.46534,0.97367,0.009604,0.009604,0.009604
10,1310.61,1.67557,0.9482,1.04737,0.30104,0.35587,0.23624,0.09241,2.28151,3.42603,1.0514,0.0095545,0.0095545,0.0095545
11,1428.83,1.67222,0.95335,1.04582,0.52922,0.53957,0.49824,0.22576,1.87653,2.13653,0.95677,0.009505,0.009505,0.009505
12,1544.94,1.67908,0.95746,1.04871,0.56667,0.53638,0.51117,0.21088,1.96902,2.38389,0.98096,0.0094555,0.0094555,0.0094555
13,1663.49,1.67182,0.94235,1.04204,0.59486,0.52602,0.5271,0.2363,1.95061,2.0451,0.98066,0.009406,0.009406,0.009406
14,1784.27,1.66393,0.94196,1.0469,0.43437,0.53386,0.41086,0.18048,1.90187,2.52436,0.96087,0.0093565,0.0093565,0.0093565
15,1904.17,1.65987,0.93773,1.03716,0.51944,0.47457,0.41761,0.17344,1.99389,2.44421,0.97327,0.009307,0.009307,0.009307
16,2024.95,1.65049,0.94338,1.04075,0.53587,0.48219,0.42836,0.18664,1.98505,2.3469,0.97772,0.0092575,0.0092575,0.0092575
17,2144.89,1.65697,0.93893,1.03674,0.58535,0.53218,0.51028,0.23055,1.95179,2.22695,0.96092,0.009208,0.009208,0.009208
18,2264.87,1.64916,0.92894,1.03985,0.54586,0.52864,0.45775,0.20342,1.90205,2.33317,0.96613,0.0091585,0.0091585,0.0091585
19,2383.19,1.64339,0.93707,1.03775,0.47646,0.50012,0.43782,0.20386,1.8825,2.48208,0.95558,0.009109,0.009109,0.009109
20,2503.32,1.64571,0.92435,1.03819,0.53869,0.54445,0.46891,0.19744,1.94568,2.44033,0.97118,0.0090595,0.0090595,0.0090595
21,2624.08,1.64281,0.91389,1.02877,0.64838,0.56147,0.55106,0.2574,1.85762,2.06634,0.95468,0.00901,0.00901,0.00901
22,2745.67,1.63732,0.92363,1.03026,0.51749,0.50135,0.47631,0.2171,1.89733,2.42588,0.96115,0.0089605,0.0089605,0.0089605
23,2866.13,1.62852,0.91714,1.02924,0.56618,0.5217,0.48261,0.23437,1.87158,2.40837,0.95755,0.008911,0.008911,0.008911
24,2989.78,1.63501,0.92066,1.03373,0.52579,0.51437,0.44383,0.20696,1.88832,2.5884,0.95922,0.0088615,0.0088615,0.0088615
25,3108.69,1.64497,0.92181,1.03383,0.54401,0.5516,0.45767,0.20889,1.88266,2.28426,0.95292,0.008812,0.008812,0.008812
26,3230.38,1.62301,0.90611,1.03075,0.56154,0.48202,0.47891,0.21064,1.92844,2.21766,0.96791,0.0087625,0.0087625,0.0087625
27,3350.07,1.62949,0.91029,1.03768,0.64163,0.52879,0.53163,0.23871,1.91125,2.01287,0.96437,0.008713,0.008713,0.008713
28,3466.98,1.62012,0.90398,1.03286,0.55774,0.54746,0.48439,0.22924,1.86743,2.275,0.95696,0.0086635,0.0086635,0.0086635
29,3583.72,1.61269,0.90149,1.02545,0.56811,0.55951,0.48948,0.22925,1.86834,2.3222,0.95461,0.008614,0.008614,0.008614
30,3702.65,1.61417,0.89923,1.02464,0.5911,0.50893,0.49356,0.23128,1.86542,2.29744,0.95703,0.0085645,0.0085645,0.0085645
31,3821.15,1.62813,0.90738,1.03275,0.57327,0.51812,0.48802,0.22099,1.89199,2.25283,0.9593,0.008515,0.008515,0.008515
32,3938.74,1.60785,0.89221,1.02834,0.57324,0.55341,0.49113,0.22827,1.85727,2.18029,0.95571,0.0084655,0.0084655,0.0084655
33,4057.96,1.60958,0.89773,1.02583,0.57116,0.56997,0.51313,0.23685,1.87523,2.1253,0.95604,0.008416,0.008416,0.008416
34,4175.7,1.59804,0.88927,1.02955,0.61856,0.54151,0.50818,0.23647,1.86932,2.24546,0.95254,0.0083665,0.0083665,0.0083665
