epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.92,2.01748,2.65981,1.19843,0,0,0,0,0,0,0,0.00333075,0.00333075,0.00333075
2,701.136,1.89055,1.60187,1.1611,0,0,0,0,0,0,0,0.0066201,0.0066201,0.0066201
3,1031.44,1.91068,1.3278,1.1741,0,0,0,0,0,0,0,0.00986545,0.00986545,0.00986545
4,1360.02,1.91801,1.23576,1.18646,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,1686.94,1.85883,1.15113,1.16423,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,2015.23,1.83447,1.11109,1.15669,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,2337.86,1.81133,1.08212,1.1456,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,2662.78,1.78339,1.06535,1.14267,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,2985.06,1.77163,1.04577,1.13057,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,3307.65,1.75672,1.02188,1.13047,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,3629.11,1.74554,1.01025,1.12322,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,3950.93,1.72847,0.99112,1.11411,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,4275.04,1.72423,0.99001,1.11242,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,4598.01,1.7117,0.98976,1.10869,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,4921.81,1.70744,0.97792,1.10895,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,5244.93,1.69753,0.96729,1.10462,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,5567.79,1.69097,0.96311,1.10414,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
18,5892.37,1.68242,0.95008,1.10042,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
19,6224.28,1.68078,0.94831,1.0981,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
20,6555.56,1.66942,0.93997,1.09249,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
21,6888.44,1.65995,0.94108,1.09504,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
22,7224.11,1.66228,0.93031,1.09128,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
23,7557.21,1.65777,0.92582,1.08773,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
24,7886.81,1.63923,0.92198,1.08749,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
25,8224.71,1.64177,0.9143,1.08923,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
26,8554.42,1.62466,0.90706,1.08105,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
27,8879.77,1.63941,0.90231,1.08521,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
28,9208.55,1.61663,0.90002,1.07545,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
29,9532.07,1.62206,0.90318,1.08089,0,0,0,0,0,0,0,0.008152,0.008152,0.008152
30,9853.69,1.60752,0.88715,1.07215,0,0,0,0,0,0,0,0.008086,0.008086,0.008086
31,10175.8,1.6056,0.88631,1.06778,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
32,10500.5,1.59259,0.88184,1.0691,0,0,0,0,0,0,0,0.007954,0.007954,0.007954
33,10823.8,1.59816,0.87582,1.07265,0,0,0,0,0,0,0,0.007888,0.007888,0.007888
34,11144.2,1.58385,0.87341,1.06457,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
35,11453.2,1.5814,0.87884,1.06783,0,0,0,0,0,0,0,0.007756,0.007756,0.007756
36,11780.5,1.58199,0.86791,1.06318,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
37,12112.8,1.57164,0.86834,1.06507,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
38,12447.1,1.56765,0.86268,1.05831,0,0,0,0,0,0,0,0.007558,0.007558,0.007558
39,12780.3,1.563,0.85817,1.06019,0,0,0,0,0,0,0,0.007492,0.007492,0.007492
40,13113.7,1.56132,0.86233,1.05828,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
41,13450,1.5575,0.84996,1.05617,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
42,13781.5,1.54673,0.83905,1.05325,0,0,0,0,0,0,0,0.007294,0.007294,0.007294
43,14116.2,1.53924,0.84142,1.05234,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
44,14444.2,1.53256,0.83151,1.05097,0,0,0,0,0,0,0,0.007162,0.007162,0.007162
45,14765.5,1.53975,0.83755,1.05038,0,0,0,0,0,0,0,0.007096,0.007096,0.007096
46,15085.5,1.53006,0.83456,1.0483,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
47,15407.1,1.52307,0.82376,1.04705,0,0,0,0,0,0,0,0.006964,0.006964,0.006964
48,15728.8,1.51518,0.82473,1.04319,0,0,0,0,0,0,0,0.006898,0.006898,0.006898
49,16053.9,1.51553,0.82259,1.04492,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
50,16383.9,1.51421,0.8133,1.0429,0,0,0,0,0,0,0,0.006766,0.006766,0.006766
51,16714.5,1.50325,0.8136,1.04449,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
52,17042.3,1.50505,0.80908,1.04144,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
53,17368.8,1.49874,0.80518,1.03872,0,0,0,0,0,0,0,0.006568,0.006568,0.006568
54,17694.3,1.49245,0.80892,1.03805,0,0,0,0,0,0,0,0.006502,0.006502,0.006502
55,18018.7,1.49062,0.79563,1.03646,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
56,18344.8,1.49123,0.79892,1.04053,0,0,0,0,0,0,0,0.00637,0.00637,0.00637
57,18673,1.48664,0.79303,1.03614,0,0,0,0,0,0,0,0.006304,0.006304,0.006304
