epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.03,4.93952,25.5601,3.927,0,0,0,0,0,0,0,0.000269954,0.000269954,0.000269954
2,252.509,3.65685,12.0609,3.09428,0,0,0,0,0,0,0,0.000536777,0.000536777,0.000536777
3,281.666,2.70714,4.59772,1.56925,0,0,0,0,0,0,0,0.000792606,0.000792606,0.000792606
4,310.484,2.42832,3.43838,1.40001,0,0,0,0,0,0,0,0.00078352,0.00078352,0.00078352
5,339.343,2.4072,3.2579,1.25362,0,0,0,0,0,0,0,0.000767026,0.000767026,0.000767026
6,367.9,2.29341,2.86669,1.2167,0,0,0,0,0,0,0,0.000750533,0.000750533,0.000750533
7,396.461,2.2392,2.54344,1.15596,0,0,0,0,0,0,0,0.00073404,0.00073404,0.00073404
8,425.381,2.17387,2.26659,1.12153,0,0,0,0,0,0,0,0.000717546,0.000717546,0.000717546
9,454.46,2.16863,2.13434,1.09491,0,0,0,0,0,0,0,0.000701053,0.000701053,0.000701053
10,484.23,2.0843,1.96179,1.09263,0,0,0,0,0,0,0,0.000684559,0.000684559,0.000684559
11,514.131,2.10892,1.90053,1.09196,0,0,0,0,0,0,0,0.000668066,0.000668066,0.000668066
12,547.66,2.06862,1.82833,1.07321,0,0,0,0,0,0,0,0.000651573,0.000651573,0.000651573
13,576.521,2.02765,1.75729,1.0498,0,0,0,0,0,0,0,0.000635079,0.000635079,0.000635079
14,605.19,2.0042,1.67777,1.05071,0,0,0,0,0,0,0,0.000618586,0.000618586,0.000618586
15,634.674,2.00964,1.62326,1.04909,0,0,0,0,0,0,0,0.000602092,0.000602092,0.000602092
16,663.143,1.94651,1.5257,1.05012,0,0,0,0,0,0,0,0.000585599,0.000585599,0.000585599
17,691.898,1.92345,1.48133,1.03729,0,0,0,0,0,0,0,0.000569106,0.000569106,0.000569106
18,720.716,1.9186,1.45716,1.0153,0,0,0,0,0,0,0,0.000552612,0.000552612,0.000552612
19,749.378,1.9041,1.42151,1.03125,0,0,0,0,0,0,0,0.000536119,0.000536119,0.000536119
20,777.721,1.88892,1.40293,1.02461,0,0,0,0,0,0,0,0.000519625,0.000519625,0.000519625
21,806.071,1.88878,1.38945,1.0237,0,0,0,0,0,0,0,0.000503132,0.000503132,0.000503132
22,834.661,1.86483,1.35238,1.01551,0,0,0,0,0,0,0,0.000486639,0.000486639,0.000486639
23,863.388,1.82582,1.32032,1.00819,0,0,0,0,0,0,0,0.000470145,0.000470145,0.000470145
24,891.837,1.84804,1.32895,1.00734,0,0,0,0,0,0,0,0.000453652,0.000453652,0.000453652
25,920.031,1.80594,1.26946,1.00495,0,0,0,0,0,0,0,0.000437158,0.000437158,0.000437158
26,949.451,1.79776,1.2662,1.00668,0,0,0,0,0,0,0,0.000420665,0.000420665,0.000420665
27,977.899,1.80794,1.21853,0.99563,0,0,0,0,0,0,0,0.000404172,0.000404172,0.000404172
28,1006.98,1.80018,1.23082,1.0027,0,0,0,0,0,0,0,0.000387678,0.000387678,0.000387678
29,1036.23,1.73138,1.18031,0.97991,0,0,0,0,0,0,0,0.000371185,0.000371185,0.000371185
30,1065.18,1.74599,1.17313,0.97603,0,0,0,0,0,0,0,0.000354691,0.000354691,0.000354691
31,1094.34,1.75398,1.17935,1.00042,0,0,0,0,0,0,0,0.000338198,0.000338198,0.000338198
32,1122.96,1.73773,1.1728,0.97713,0,0,0,0,0,0,0,0.000321705,0.000321705,0.000321705
33,1151.56,1.74053,1.16148,0.98528,0,0,0,0,0,0,0,0.000305211,0.000305211,0.000305211
34,1180.62,1.73604,1.1185,0.97396,0,0,0,0,0,0,0,0.000288718,0.000288718,0.000288718
35,1209.5,1.70977,1.12052,0.99628,0,0,0,0,0,0,0,0.000272224,0.000272224,0.000272224
36,1237.98,1.69799,1.09482,0.97597,0,0,0,0,0,0,0,0.000255731,0.000255731,0.000255731
37,1266.22,1.69725,1.08691,0.97044,0,0,0,0,0,0,0,0.000239238,0.000239238,0.000239238
38,1294.34,1.6948,1.09221,0.9692,0,0,0,0,0,0,0,0.000222744,0.000222744,0.000222744
39,1322.42,1.68792,1.08039,0.98174,0,0,0,0,0,0,0,0.000206251,0.000206251,0.000206251
40,1350.35,1.67338,1.08035,0.97135,0,0,0,0,0,0,0,0.000189757,0.000189757,0.000189757
41,1377.75,1.58758,0.99529,0.96339,0,0,0,0,0,0,0,0.000173264,0.000173264,0.000173264
42,1404.19,1.55254,0.9641,0.95934,0,0,0,0,0,0,0,0.000156771,0.000156771,0.000156771
43,1431.14,1.55759,0.93629,0.9518,0,0,0,0,0,0,0,0.000140277,0.000140277,0.000140277
44,1458.04,1.56663,0.91655,0.96112,0,0,0,0,0,0,0,0.000123784,0.000123784,0.000123784
45,1485.21,1.5536,0.91035,0.9561,0,0,0,0,0,0,0,0.00010729,0.00010729,0.00010729
46,1512.24,1.52834,0.89202,0.95525,0,0,0,0,0,0,0,9.0797e-05,9.0797e-05,9.0797e-05
47,1539.17,1.51938,0.8971,0.95668,0,0,0,0,0,0,0,7.43036e-05,7.43036e-05,7.43036e-05
48,1566,1.52166,0.87692,0.9498,0,0,0,0,0,0,0,5.78102e-05,5.78102e-05,5.78102e-05
49,1593.03,1.50324,0.86793,0.94895,0,0,0,0,0,0,0,4.13168e-05,4.13168e-05,4.13168e-05
50,2296.96,1.4988,0.85591,0.94344,0.55563,0.52163,0.52617,0.27649,1.97448,2.13989,1.17979,2.48234e-05,2.48234e-05,2.48234e-05
